Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	0.242312	0.754968	91.676000	76.310000	
0.100000	0.240267	0.524380	91.780000	82.830000	
0.100000	0.240681	0.682887	91.706000	78.500000	
0.100000	0.239547	0.592517	91.886000	80.440000	
0.100000	0.238463	0.549788	91.780000	82.230000	
0.100000	0.243476	0.581582	91.642000	81.670000	
0.100000	0.234609	0.596522	91.838000	80.700000	
0.100000	0.237557	0.776403	91.830000	76.380000	
0.100000	0.235591	0.691299	91.856000	78.890000	
0.100000	0.232661	0.593074	92.002000	81.540000	
0.100000	0.236083	0.607243	91.930000	81.360000	
0.100000	0.236704	0.490227	91.856000	83.860000	
0.100000	0.225995	0.543400	92.398000	82.760000	
0.100000	0.235061	0.540879	91.926000	82.560000	
0.100000	0.227027	0.646631	92.198000	79.710000	
0.100000	0.231651	0.633481	92.066000	80.440000	
0.100000	0.234734	0.555518	91.890000	82.460000	
0.100000	0.231212	0.632687	92.072000	80.370000	
0.100000	0.229879	0.763039	92.234000	76.980000	
0.100000	0.225061	0.515918	92.406000	83.110000	
0.100000	0.228364	0.496005	92.094000	84.060000	
0.100000	0.223248	0.543812	92.396000	83.090000	
0.100000	0.230433	0.535628	92.130000	82.720000	
0.100000	0.221936	0.496587	92.452000	84.000000	
0.100000	0.224467	0.532250	92.410000	83.070000	
0.100000	0.224152	1.123334	92.420000	71.540000	
0.100000	0.225717	0.525161	92.216000	83.650000	
0.100000	0.224081	0.631638	92.192000	81.000000	
0.100000	0.219051	0.709648	92.452000	78.880000	
0.100000	0.225783	0.550801	92.202000	81.930000	
0.100000	0.226668	0.521693	92.306000	83.390000	
0.100000	0.222062	0.666580	92.400000	80.020000	
0.100000	0.224106	0.901241	92.348000	74.560000	
0.100000	0.217848	0.525152	92.508000	83.760000	
0.100000	0.217304	0.523410	92.584000	83.460000	
0.100000	0.223963	0.599611	92.354000	80.790000	
0.100000	0.220788	0.563608	92.506000	82.280000	
0.100000	0.216073	0.514295	92.480000	83.230000	
0.100000	0.218997	0.509094	92.514000	83.670000	
0.100000	0.217862	0.588922	92.514000	81.590000	
0.100000	0.216852	0.568527	92.664000	82.260000	
0.100000	0.223900	0.490337	92.316000	83.540000	
0.100000	0.224846	0.501004	92.380000	83.570000	
0.100000	0.214438	0.543877	92.774000	82.520000	
0.100000	0.223220	0.597860	92.190000	80.610000	
0.100000	0.216090	0.665124	92.562000	78.860000	
0.100000	0.217043	0.766525	92.432000	77.630000	
0.100000	0.216120	0.556207	92.510000	82.650000	
0.100000	0.216052	0.504785	92.592000	83.330000	
0.100000	0.217076	0.513791	92.610000	83.900000	
0.100000	0.217912	0.569421	92.616000	81.290000	
0.100000	0.215446	0.587047	92.654000	82.050000	
0.100000	0.218421	0.524540	92.478000	83.490000	
0.100000	0.215758	0.583869	92.608000	81.840000	
0.100000	0.221024	0.454488	92.504000	85.620000	
0.100000	0.217374	0.662365	92.486000	79.460000	
0.100000	0.219010	0.684124	92.428000	79.410000	
0.100000	0.215881	0.731515	92.632000	77.930000	
0.100000	0.220319	0.515400	92.580000	83.560000	
0.100000	0.218355	0.492538	92.498000	83.970000	
0.100000	0.216124	0.557825	92.704000	81.760000	
0.100000	0.216303	0.536201	92.630000	82.990000	
0.100000	0.217031	0.532587	92.534000	82.980000	
0.100000	0.219888	0.504432	92.450000	84.230000	
0.100000	0.218940	0.512840	92.478000	83.190000	
0.100000	0.213696	0.531030	92.682000	82.920000	
0.100000	0.213230	0.574481	92.704000	81.970000	
0.100000	0.211055	0.604478	92.842000	81.980000	
0.100000	0.219018	0.486652	92.536000	84.040000	
0.100000	0.222735	0.554377	92.372000	82.950000	
0.100000	0.210150	0.523660	92.782000	83.470000	
0.100000	0.213720	0.662958	92.664000	79.400000	
0.100000	0.215056	0.674932	92.676000	79.760000	
0.100000	0.211593	0.598481	92.788000	80.540000	
0.100000	0.216443	0.698040	92.530000	79.940000	
0.100000	0.216642	0.561544	92.644000	82.430000	
0.100000	0.216744	0.480411	92.598000	84.850000	
0.100000	0.212275	0.508835	92.630000	83.300000	
0.100000	0.214883	0.571110	92.572000	81.860000	
0.100000	0.216831	0.556378	92.514000	82.680000	
0.100000	0.217226	0.835776	92.634000	77.140000	
0.100000	0.214006	0.779054	92.588000	76.280000	
0.100000	0.216912	0.484395	92.512000	84.230000	
0.100000	0.217816	0.516600	92.500000	83.400000	
0.100000	0.216176	0.521344	92.588000	83.530000	
0.100000	0.210416	0.529054	92.816000	83.310000	
0.100000	0.210615	0.558571	92.730000	83.380000	
0.100000	0.218891	0.553476	92.664000	82.230000	
0.100000	0.215150	0.505251	92.674000	83.780000	
0.100000	0.213844	0.456427	92.654000	85.070000	
0.100000	0.216594	0.481748	92.606000	84.970000	
0.100000	0.215639	0.514355	92.514000	82.780000	
0.100000	0.211813	0.739003	92.774000	77.420000	
0.100000	0.212060	0.501706	92.720000	84.440000	
0.100000	0.208232	0.552958	92.790000	82.960000	
0.100000	0.218157	0.503403	92.602000	83.800000	
0.100000	0.218319	0.655581	92.568000	80.250000	
0.100000	0.213734	0.635840	92.802000	80.600000	
0.100000	0.205657	0.425276	93.178000	86.290000	
0.100000	0.209769	0.511752	92.952000	83.650000	
0.100000	0.213970	0.567255	92.682000	81.890000	
0.100000	0.211077	0.569925	92.754000	81.950000	
0.100000	0.218599	0.532488	92.566000	83.400000	
0.100000	0.211691	0.545221	92.750000	83.700000	
0.100000	0.216532	0.686082	92.668000	79.810000	
