Learning Rate	Train Loss	Benign Valid Loss	Poisoned Valid Loss	Train ACC.	Benign Valid ACC.	Poisoned Valid ACC.	
0.100000	0.228782	0.658853	0.009703	92.187855	79.900000	99.660000	
0.100000	0.227009	0.598471	0.000900	92.254590	81.060000	99.990000	
0.100000	0.217198	0.535751	0.056783	92.650828	82.350000	98.180000	
0.100000	0.229131	0.509819	0.001158	92.141975	83.220000	100.000000	
0.100000	0.224135	0.590783	0.020445	92.315068	81.400000	99.330000	
0.100000	0.224349	0.609607	0.010189	92.342179	80.350000	99.680000	
0.100000	0.224543	0.648625	0.000000	92.417256	80.780000	100.000000	
0.100000	0.226593	0.708716	0.000598	92.394316	78.270000	100.000000	
0.100000	0.220213	0.507240	0.000019	92.511102	83.470000	100.000000	
0.100000	0.223638	0.659345	0.000661	92.425598	79.050000	99.990000	
0.100000	0.225433	0.541029	0.000095	92.231650	82.300000	100.000000	
0.100000	0.226098	0.631246	0.010292	92.233735	79.520000	99.770000	
0.100000	0.226159	0.552584	0.000457	92.229564	82.000000	100.000000	
0.100000	0.225034	0.647691	0.000482	92.377632	79.540000	99.990000	
0.100000	0.223951	0.465088	0.000001	92.329666	84.720000	100.000000	
0.100000	0.224105	0.887801	0.004306	92.456880	72.160000	99.930000	
0.100000	0.224819	0.616970	0.027760	92.192026	81.160000	99.120000	
0.100000	0.212988	0.504191	0.000005	92.682110	83.860000	100.000000	
0.100000	0.222727	0.586774	0.000249	92.340094	81.120000	100.000000	
0.100000	0.223462	0.583809	0.005811	92.390145	80.590000	99.880000	
0.100000	0.215907	0.692347	0.000026	92.657084	77.570000	100.000000	
0.100000	0.230704	0.595692	0.002770	92.108607	81.590000	99.950000	
0.100000	0.220390	0.506651	0.000388	92.521529	83.730000	100.000000	
0.100000	0.225119	0.507049	0.000257	92.298384	83.670000	100.000000	
0.100000	0.221573	0.569541	0.003063	92.327581	81.910000	99.930000	
0.100000	0.225161	0.569853	0.003120	92.246248	81.250000	99.940000	
0.100000	0.219200	0.563320	0.027207	92.521529	82.280000	99.110000	
0.100000	0.223835	0.530464	0.000001	92.419341	83.330000	100.000000	
0.100000	0.216096	0.749264	0.009561	92.684195	77.690000	99.760000	
0.100000	0.226160	0.566988	0.000000	92.354692	81.520000	100.000000	
0.100000	0.218114	0.692500	0.000073	92.461051	79.310000	100.000000	
0.100000	0.221792	0.556117	0.000318	92.438110	82.450000	100.000000	
0.100000	0.224598	0.643219	0.000002	92.331752	79.460000	100.000000	
0.100000	0.223738	0.654150	0.044166	92.456880	79.260000	98.610000	
0.100000	0.220889	0.553264	0.000073	92.477734	82.710000	100.000000	
0.100000	0.222029	0.620161	0.000000	92.465221	81.110000	100.000000	
0.100000	0.222880	0.680226	0.000117	92.529871	79.360000	100.000000	
0.100000	0.221921	0.610902	0.034658	92.352606	81.280000	98.890000	
0.100000	0.221159	0.568009	0.000457	92.456880	82.230000	99.990000	
0.100000	0.230121	1.277279	0.025952	92.131547	66.570000	99.230000	
0.100000	0.218559	0.536474	0.000010	92.594520	82.300000	100.000000	
0.100000	0.224528	0.580828	0.000339	92.431854	81.670000	100.000000	
0.010000	0.090086	0.289817	0.000243	97.136658	90.370000	100.000000	
